,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
274,Dr. Tejaswini Nayak,Pediatrician,27.0,Bangalore,Bellandur,96,176.0,800.0,"MBBS, Diploma in Paediatrics"
275,Dr. P.R. Krishnan,Neurologist,29.0,Bangalore,Bannerghatta Road,89,110.0,900.0,"MBBS, MD - General Medicine, DM - Neurology, DNB - Neurology"
276,Dr. Phani Madhuri,Gynecologist/Obstetrician,19.0,Bangalore,Jayanagar 5 Block,95,670.0,700.0,"MBBS, MS - Obstetrics & Gynaecology"
277,Dr. Shafalika.S.B,Gynecologist/Obstetrician,19.0,Bangalore,Yeshwanthpur,100,398.0,750.0,"MBBS, DGO, DNB - Obstetrics & Gynecology"
278,Dr. Uma Maheshwari,Gynecologist/Obstetrician,23.0,Bangalore,Jayanagar,95,93.0,850.0,"MBBS, DGO"
279,Dr. Rajasekhar,General Surgeon,42.0,Bangalore,JP Nagar 2 Phase,94,137.0,1100.0,"MS - General Surgery, MBBS"
280,Dr. B. Ramesh,Cardiologist,36.0,Bangalore,Bannerghatta Road,98,371.0,1000.0,"DM - Cardiology, MD - General Medicine, MBBS"
281,Dr. Jayaranganath M,Cardiologist,34.0,Bangalore,Seshadripuram,91,14.0,740.0,"MBBS, MD - General Medicine, DM - Cardiology"
282,Dr. Shantala M.N,Ear-Nose-Throat (ENT) Specialist,23.0,Bangalore,Jayanagar 9 Block,99,163.0,650.0,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology"
283,Dr. Chitra Ramamurthy,Gynecologist/Obstetrician,42.0,Bangalore,Bannerghatta Road,94,53.0,850.0,"MD - Obstetrics & Gynaecology, MBBS"
284,Dr. Basavaraj  Devarashetty,Gynecologist/Obstetrician,25.0,Bangalore,Marathahalli,98,409.0,700.0,"MBBS, MD - Obstetrics & Gynaecology"
285,Dr. Vidyamani Boriah,Gynecologist/Obstetrician,52.0,Bangalore,VV Puram,91,9.0,600.0,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)"
286,Dr. Shantipriya Reddy,Dentist,32.0,Bangalore,Domlur,93,16.0,300.0,"BDS, MDS - Periodontics"
287,Dr. Jayanti S Thumsi,General Surgeon,29.0,Bangalore,Bannerghatta Road,95,35.0,1000.0,"MBBS, MS - General Surgery"
288,Dr. Anjana Hulse,Pediatrician,20.0,Bangalore,Bannerghatta Road,99,102.0,850.0,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)"
289,Dr. Deepthi RK Shashidhar,Gynecologist/Obstetrician,15.0,Bangalore,Jayanagar 4 Block,98,346.0,600.0,"MBBS, MS - Obstetrics & Gynaecology"
290,Dr. M. Gowri,Gynecologist/Obstetrician,32.0,Bangalore,HSR Layout,91,269.0,600.0,"MBBS, DGO"
291,Dr. Deepak Devakar,Dermatologist,18.0,Bangalore,JP Nagar,98,574.0,600.0,"MBBS, DDVL"
292,Dr. Deepak V Rao,Gynecologist/Obstetrician,31.0,Bangalore,Indiranagar,98,22.0,700.0,"MD - Obstetrics & Gynaecology, MBBS"
293,Dr. Amarkishen Shetty,Gastroenterologist,33.0,Bangalore,Jayanagar 9 Block,90,51.0,750.0,"MBBS, DM - Gastroenterology"
294,Dr. Sriharsha Ajjur,Urologist,18.0,Bangalore,Jayanagar,96,149.0,750.0,"MS - General Surgery, MCh - Urology, MBBS"
295,Dr. Shobha Venkat,Gynecologist/Obstetrician,30.0,Bangalore,Old Airport Road,95,416.0,900.0,"DNB - Obstetrics & Gynecology, DGO, MBBS"
