,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
25,Dr. Sushil Kumar,General Surgeon,31,Delhi,Greater Kailash Part 2,N/A,N/A,1000,"MBBS, MS - General Surgery"
26,Dr. Shobha Jindal,Plastic Surgeon,26,Delhi,Greater Kailash Part 2,N/A,N/A,999,"MBBS, MS - General Surgery, DNB - Plastic Surgery, MCh - Plastic Surgery"
27,Dr. Prakash Kumar Mehta,Laparoscopic Surgeon,23,Delhi,Dwarka,N/A,N/A,500,"MBBS, MS - General Surgery"
28,Dr. Ratnesh Mahajan,General Surgeon,11,Delhi,Ashok Vihar,60% ,4,500,"MBBS, MS - General Surgery"
29,Dr. Arun Anand,General Surgeon,10,Delhi,Dwarka,N/A,N/A,500,"MBBS, MS - General Surgery"
30,Dr. Anil Vardani,Internal Medicine,36,Delhi,Pusa Road,87% ,29,1800,"MBBS, MD - General Medicine"
31,Dr. Rajinder Kumar Singal,Internal Medicine,40,Delhi,Pusa Road,89% ,2,1800,"MBBS, MD - General Medicine"
32,Dr. Jeevanjyot Bahia,General Physician,30,Delhi,Pusa Road,83% ,5,800,"MBBS, DNB - Family Medicine"
33,Dr. Vishal Kaura Aggarwal,Internal Medicine,25,Delhi,Pusa Road,100% ,5,1500,"MD - Medicine, MBBS"
34,Dr. Amitabh Khanna,Diabetologist,33,Delhi,Dwarka,80% ,130,1000,"MBBS, Diploma in Cardiology"
35,Dr. Navneet Kaur,General Physician,24,Delhi,Nehru Place,90% ,4,500,MBBS
36,Dr. Narinder Tikoo,Internal Medicine,46,Delhi,Sarita Vihar,100% ,4,1500,"MBBS, MD - General Medicine"
37,Dr. Anuj Gupta,Pulmonologist,23,Delhi,Munirka,97% ,187,1250,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)"
38,Dr. (Maj.)Sharad Shrivastava,General Physician,29,Delhi,Dwarka Sector 7,93% ,139,800,MBBS
39,Dr. Yatin Kukreja,General Physician,19,Delhi,Lajpat Nagar 4,98% ,134,650,MD - Physician
40,Dr. Jaspreet Singh Lamba,General Physician,25,Delhi,Malviya Nagar,98% ,96,800,"MBBS, MD - General Medicine"
41,Dr. Pradeep Kawatra,General Physician,41,Delhi,Nehru Place,71% ,2,1200,"MBBS, MD - Medicine"
42,Dr. Sham Sunder,Nephrologist,46,Delhi,Safdarjung Development Area,96% ,71,1500,"MBBS, MD - Medicine, DM - Nephrology"
43,Dr. Yuvraj Arora Monga,General Physician,25,Delhi,Lajpat Nagar,83% ,805,800,"MBBS, MD - Pharmacology"
44,Dr. Amarpreet Singh Riar,General Practitioner,9 ,Delhi,Dwarka,96% ,497,800,MD - Physician
45,Dr. Mohammada Asim Siddiqui,Internal Medicine,23,Delhi,Sarita Vihar,100% ,6,2500,"MD - General Medicine, MBBS"
46,Dr. Gagan N. Jain,Internal Medicine,Sp,Delhi,Pitampura,98% ,27,2,"MBBS, MD - General Medicine"
47,Dr. Vikram Sabharwal,General Physician,25,Delhi,Janakpuri,100% ,15,1000,MBBS
48,Dr. Charu Goel Sachdeva,Internal Medicine,21,Delhi,Dwarka Sector 6,73% ,18,900,"MBBS, DNB - General Medicine"
49,Dr. Virendra Kumar Raju,Internal Medicine,27,Delhi,Dwarka,91% ,46,1000,"MBBS, MD - General Medicine"
50,Dr. N.M. Agarwal,Internal Medicine,37,Delhi,Pusa Road,N/A,N/A,1800,"MBBS, MD - Medicine"
51,Dr. Deepak Gargi Pande,General Physician,26,Delhi,Pusa Road,100% ,2,1800,"MD - General Medicine, MBBS"
52,Dr. Vimal Gupta,General Physician,Sp,Delhi,Nehru Place,100% ,1,2,"MBBS, MD - General Medicine"
53,Dr. Lalit Kumar,General Physician,43,Delhi,Vivek Vihar,98% ,37,600,MBBS
54,Dr. Praveen Tiwari,General Physician,21,Delhi,Vasundhra Enclave,97% ,20,1000,"MD - Medicine, MBBS"
55,Dr. Usha Gupta,General Practitioner,39,Delhi,Jhilmil Colony,100% ,33,600,MBBS
56,Dr. Anupama Khanna,General Physician,31,Delhi,Dwarka,96% ,8,800,MBBS
57,Dr. Rakesh Kumar,Internal Medicine,35,Delhi,Sarita Vihar,N/A,N/A,2000,"MBBS, MD - General Medicine"
58,Dr. Ankit Nijhara,General Physician,2 ,Delhi,Patel Nagar East,100% ,59,600,MBBS
59,Dr. Hitesh Punyani,Internal Medicine,25,Delhi,Moti Nagar,98% ,38,1200,"MBBS, MD - Medicine"
60,Dr. Ayush Gupta,Internal Medicine,32,Delhi,Shalimar Bagh,56% ,8,800,"MBBS, MD - Medicine"
61,Dr. Kamal Ahmad,Internal Medicine,28,Delhi,Sarita Vihar,100% ,1,2000,"MBBS, MD - General Medicine"
62,Dr. Bimal Kumar Dubey,General Physician,25,Delhi,Rohini,93% ,46,600,MD - Physician
63,Dr. Rakesh Dewan,General Physician,37,Delhi,Tri Nagar,92% ,7,400,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)"
64,Dr. Nandini Agarwal,General Physician,17,Delhi,Vikas Puri,96% ,35,700,"MBBS, MD - Physiology"
65,Dr. Gagan Anand,Internal Medicine,7 ,Delhi,Pusa Road,N/A,N/A,1100,"MBBS, DNB - General Medicine"
66,Dr. R K Raman,General Physician,13,Delhi,Uttam Nagar,100% ,8,600,MBBS
67,Dr. Amrita Ghosh,General Physician,14,Delhi,Nehru Place,86% ,7,1200,MBBS
68,Dr. Himanshu Shekhar,General Physician,16,Delhi,Greater Kailash Part 1,78% ,4,800,MD - Physician
69,Dr. Surya Aggarwal,General Physician,13,Delhi,Preet Vihar,99% ,53,700,"MBBS, MD - General Medicine"
70,Dr. Nitin Garg,General Physician,18,Delhi,Punjabi Bagh,100% ,4,1000,"MD - Anaesthesiology, MBBS"
71,Dr. Rajesh Kansal,General Physician,38,Delhi,Paschim Vihar,100% ,24,500,MBBS
72,Dr. Paru Sharma,General Physician,30,Delhi,Dwarka Sector 13,99% ,83,600,MBBS
73,Dr. Anil Laul,General Physician,36,Delhi,Dwarka Sector 6,77% ,8,900,"MBBS, MD - General Medicine"
74,Dr. Rumana Aziz,General Physician,15,Delhi,Panchsheel Park,N/A,N/A,800,MBBS
75,Dr. Pankaj Lohia,Pulmonologist,24,Delhi,Pusa Road,N/A,N/A,1100,"MBBS, MD - Tuberculosis and Chest Diseases"
76,Dr. Raj Kumar,Pulmonologist,21,Delhi,Vasant Kunj,93% ,25,1000,"MD - Tuberculosis and Chest Diseases, MBBS"
77,Dr. Jay Kirtani,General Physician,19,Delhi,Panchsheel Park,92% ,5,1500,"MBBS, MD - Medicine, Diploma in Geriatric Medicine"
78,Dr. Kalyanashish Das,Pediatrician,23,Delhi,CR Park,100% ,21,600,"MBBS, Diploma in Child Health (DCH)"
79,Dr. Pramila Srivastava,General Physician,41,Delhi,Defence Colony,85% ,8,500,"MBBS, Diploma in Child Health (DCH)"
80,Dr. Vineet Arora,General Physician,22,Delhi,Shalimar Bagh,73% ,9,1000,"MBBS, MD - Medicine"
81,Dr. Vivek Pal Singh,Internal Medicine,17,Delhi,Pusa Road,N/A,N/A,1800,"MBBS, MD - General Medicine"
82,Dr. S P Singh,Internal Medicine,45,Delhi,Okhla,23% ,9,1500,"MBBS, DNB - General Medicine"
83,Dr. Sunny Sehgal,General Physician,12,Delhi,Laxmi Nagar,96% ,98,500,MD - Physician
84,Dr. Sanchayan Roy,Internal Medicine,24,Delhi,CR Park,90% ,88,800,"MBBS, DNB - General Medicine"
85,Dr. Saumya Rathi,General Physician,10,Delhi,Shakti Nagar,100% ,97,600,MBBS
86,Dr. Pankaj Kumar,General Physician,15,Delhi,Janakpuri,96% ,118,650,"MBBS, DNB - Family Medicine, DNHE"
87,Dr. Nirmala Lahoti,General Physician,34,Delhi,Preet Vihar,95% ,56,1100,"MBBS, MD - Medicine"
88,Dr. Inder Kasturia,General Physician,30,Delhi,Dwarka Sector 12,92% ,8,700,MBBS
89,Dr. Swetal chouhan,General Physician,12,Delhi,Saket,90% ,6,800,"MBBS, DNB - General Medicine"
90,Dr. Akant Arora,Emergency & Critical Care,7 ,Delhi,Janakpuri,100% ,3,500,"DNB - Emergency Medicine, MBBS"
91,Dr. Varun Verma,Nephrologist,23,Delhi,Patparganj,88% ,4,1500,"MBBS, MD - General Medicine, DNB - Nephrology"
92,Dr. S.K. Tyagi,Internal Medicine,39,Delhi,Tilak Nagar,80% ,16,1000,"MBBS, MD - Medicine"
93,Dr. Alka Bhasin,General Physician,28,Delhi,Saket,35% ,11,1600,"MBBS, Fellowship in Nephrology"
94,Dr. Rajeev Gupta,General Physician,38,Delhi,Punjabi Bagh,67% ,3,1000,"MBBS, MD - Medicine"
95,Dr. Ajay Gainda,General Physician,26,Delhi,Pitampura,100% ,N/A,600,"MBBS, MD - General Medicine"
96,Dr. Zuha Ahmed,General Physician,4 ,Delhi,Jhilmil Colony,100% ,2,400,MBBS
97,Dr. Manju Keshari,General Physician,23,Delhi,Patparganj,66% ,30,700,MBBS
98,Dr. Dhananjay Kumar,Internal Medicine,28,Delhi,Okhla,100% ,N/A,1500,"MBBS, MD - General Medicine"
99,Dr. Vineet Mittal,General Physician,19,Delhi,Rohini,100% ,50,500,"MBBS, DNB - General Medicine"
100,Dr. Sanjay Dhall,General Physician,35,Delhi,Shalimar Bagh,60% ,1,1000,"MBBS, MD - General Medicine"
101,Dr. Shailendra Bhadoriya,General Physician,20,Delhi,Greater Kailash,98% ,24,1000,MBBS
102,Dr. Preeti Lall,General Physician,7 ,Delhi,Dwarka Sector 19,N/A,N/A,500,MBBS
103,Dr. Atul Arora,Internal Medicine,30,Delhi,Kalkaji,98% ,42,1000,"MBBS, MD - General Medicine"
104,Dr. Sushil Goyal,General Physician,34,Delhi,Rohini Sector 8,67% ,5,800,MBBS
105,Dr. Md Shamim Reyaz,General Physician,10,Delhi,Chhatarpur Extension,88% ,16,500,MBBS
106,Dr. Pankaj Rohilla,General Physician,18,Delhi,Vishnu Garden,80% ,4,250,MBBS
107,Dr. Gaurav Thukran,General Physician,8 ,Delhi,Dwarka Sector 8,95% ,176,600,MD - Physician
108,Dr. Naresh Dang,General Physician,35,Delhi,Patparganj,67% ,1,1000,MBBS
109,Dr. Chetan Kumar Gupta,Pulmonologist,23,Delhi,Chattarpur,58% ,12,800,"MBBS, MD - Tuberculosis and Chest Diseases"
110,Dr. Jayant Thakuria,Internal Medicine,23,Delhi,East Of Kailash,82% ,22,1000,"MD - General Medicine, MBBS"
111,Dr. Rajendra Singh,Internal Medicine,27,Delhi,Dwarka Sector 6,56% ,3,900,"MBBS, MD - General Medicine"
112,Dr. Rohan Rajpuut,General Physician,5 ,Delhi,Mayur Vihar Ph-I,75% ,2,349,MBBS
113,Dr. Atul Verma,General Physician,21,Delhi,Pitampura,N/A,N/A,500,"MBBS, DNB - Family Medicine"
114,Dr. Viresh Prashant Mehta,General Physician,24,Delhi,Patparganj,100% ,N/A,800,"MBBS, MD - General Medicine"
115,Dr. Priyamvada Tyagi,General Physician,7 ,Delhi,Patparganj,N/A,N/A,1000,MBBS
116,Dr. Danish Qureshi,General Physician,22,Delhi,Darya Ganj,100% ,22,500,MBBS
117,Dr. Devinder Piplani,General Physician,46,Delhi,Lajpat Nagar,100% ,6,500,MBBS
118,Dr. Shuchin Bajaj,Internal Medicine,24,Delhi,Paschim Vihar,98% ,79,1000,"MBBS, MD - Medicine, UMSHCP"
119,Dr. Vivek Singh,General Physician,13,Delhi,Burari,100% ,57,650,"MBBS, DDV"
120,Dr. Anil Kumar Jain,Pulmonologist,34,Delhi,Vishwas Nagar,90% ,27,1000,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), Diploma in Child Health (DCH)"
121,Dr. Gita Prakash,General Physician,43,Delhi,Panchsheel Park,100% ,4,800,MBBS
122,Dr. Dolly Bagai,General Physician,38,Delhi,Kingsway Camp,100% ,16,700,MBBS
123,Dr. Subhash Chander Sapra,Pediatrician,51,Delhi,Shakti Nagar,98% ,20,800,"Diploma in Child Health (DCH), MBBS"
124,Dr. Sarthak Chakravarty,General Physician,9 ,Delhi,Neb Sarai,98% ,39,700,MBBS
125,Dr. Rommel Tickoo,General Physician,25,Delhi,Panchsheel Park,96% ,16,1500,"MBBS, MD - General Medicine"
126,Dr. Rakesh Sood,General Physician,38,Delhi,Shalimar Bagh,100% ,4,1000,"MBBS, MD - General Medicine"
127,Dr. Rakesh Gupta,Internal Medicine,37,Delhi,Sarita Vihar,93% ,12,2000,"MD - Medicine, MBBS"
128,Dr. Vishwajeet Singh,Sexologist,10,Delhi,Dwarka,100% ,3,600,Doctor of Homeopathic Medicine (HMD)
129,Dr. Kishor Kumar Tuteja,General Physician,24,Delhi,Rani Bagh,80% ,3,300,MBBS
130,Dr. M S Chaudhary,Internal Medicine,39,Delhi,Sarita Vihar,100% ,N/A,2000,"MBBS, MD - General Medicine"
131,Dr. J M S Kalra,General Physician,53,Delhi,Shalimar Bagh,67% ,3,1200,"MBBS, MD - Medicine"
132,Dr. Manish Jain,General Physician,4 ,Delhi,Dilshad Garden,100% ,11,1000,MBBS
133,Dr. Himank Goyal,Neurologist,9 ,Delhi,Ashok Vihar Phase 1,92% ,15,1000,"MD - General Medicine, MBBS, DM - Neurology"
134,Dr. Atul Bhasin,General Physician,31,Delhi,Pusa Road,100% ,3,1800,"MBBS, DNB - General Medicine"
135,Dr. Chandrakant Lahariya,General Physician,19,Delhi,Safdarjung Enclave,100% ,1,500,"MBBS, MD - Community Medicine"
136,Dr. Siddharth Sehgal,General Physician,20,Delhi,Patel Nagar West,100% ,24,500,MBBS
137,Dr. Alok Kumar,General Physician,22,Delhi,Hari Nagar,90% ,15,500,MD - Physician
138,Dr. Rajiva Gupta,Internal Medicine,42,Delhi,Punjabi Bagh,99% ,680,1400,"MBBS, MD - General Medicine"
139,Dr. S N Kumar,General Physician,43,Delhi,Greater Kailash Part 1,80% ,4,800,MBBS
140,Dr. K.S. Walia,General Physician,48,Delhi,Sarita Vihar,90% ,156,600,MBBS
141,Dr. Amitabha Dutta,Gastroenterologist,42,Delhi,Sarita Vihar,100% ,4,1500,"MBBS,  FRCP, CCST - Gastroenterology"
142,Dr. Arpita A. Sethi,General Physician,15,Delhi,Ashok Vihar Phase 2,100% ,8,500,MBBS
143,Dr. Satbir Singh,Cardiologist,23,Delhi,Rajouri Garden,98% ,99,1000,"MBBS, DNB - General Medicine, DNB - Cardiology"
144,Dr. Gaurav Bhalla,Internal Medicine,15,Delhi,Rani Bagh,86% ,4,1000,"MBBS, MD - General Medicine"
145,Dr. Narayan Prasad Verma,General Physician,29,Delhi,Khanpur,100% ,N/A,250,MBBS
146,Dr. Gurpreet,General Physician,8 ,Delhi,Mahavir Enclave,100% ,1,500,MD - Physician
147,Dr. Mitu Papneja Shrikhande,General Physician,27,Delhi,Vasant Kunj,100% ,3,1400,"MBBS, MD - Medicine, DNB - General Medicine"
148,Dr. Govind Singh Bisht,General Physician,29,Delhi,Panchsheel Park,91% ,3,1400,MBBS
149,Dr. M.L.Kalra,Internal Medicine,39,Delhi,Panchsheel Park,70% ,4,1200,"MBBS, MD - Medicine"
150,Dr. Sushma Chawla,General Physician,50,Delhi,Greater Kailash Part 2,93% ,38,1000,MBBS
151,Dr. R N Saini,Internal Medicine,47,Delhi,Pusa Road,100% ,N/A,1800,"MBBS, MD - Medicine"
152,Dr. Leena Batra,General Physician,17,Delhi,Rohini,97% ,86,500,MBBS
153,Dr. Manish Chandra Prabhakar,General Physician,9 ,Delhi,Uttam Nagar,100% ,5,500,"MBBS, MD - Community Medicine"
154,Dr. Chiranjib Deb,General Physician,12,Delhi,Palam Colony,100% ,9,500,MBBS
155,Dr. Meenu Virdi,General Physician,16,Delhi,Panchsheel Park,96% ,59,1000,MD - Physician
156,Dr. Sunil Chauhan,General Physician,13,Delhi,Sarita Vihar,96% ,35,600,"MD - Physician, DNB - General Medicine"
157,Dr. Vipul Mohan,General Physician,14,Delhi,Hauz Khas,86% ,15,1000,"MD - General Medicine, MBBS"
158,Dr. Mugdha Tapdiya,Internal Medicine,26,Delhi,Vasant Kunj,79% ,6,1300,"MBBS, MD - Medicine"
159,Dr. Tarun Sahni,General Physician,42,Delhi,Sarita Vihar,100% ,1,2000,"MBBS, MD - General Medicine"
160,Dr. Vandana Bhasin,General Physician,28,Delhi,Janakpuri,62% ,9,500,"MBBS, DNB - Family Medicine"
161,Dr. Sanjay Sikka,General Physician,37,Delhi,Sarita Vihar,100% ,1,2000,"MBBS, MD - Medicine"
162,Dr. Amit Chauhan,General Physician,17,Delhi,Pandav Nagar,80% ,5,400,MBBS
163,Dr. Rachna Kucheria,Family Physician,30,Delhi,Gulmohar Park,95% ,21,1000,"MBBS, MD - Community Medicine, Diplomate of the American Board of Family Medicine"
164,Dr. Rahul Jain,General Physician,17,Delhi,Shalimar Bagh,100% ,1,1200,"MBBS, MD - General Medicine"
165,Dr. Swati Kanodia,General Physician,13,Delhi,Pusa Road,86% ,6,1100,"MBBS, MD - Pediatrics"
166,Dr. Alok Joshi,General Physician,39,Delhi,Shalimar Bagh,100% ,4,800,"MBBS, DNB - General Medicine"
167,Dr. Nikhilesh Pathak,General Physician,7 ,Delhi,Old Rajendra Nagar,100% ,20,800,MBBS
168,Dr. Ramit Singh Sambyal,General Physician,9 ,Delhi,Safdarjung Enclave,98% ,39,1000,MBBS
169,Dr. Narain Harisinghani,General Physician,45,Delhi,Krishna Nagar,N/A,N/A,500,"MBBS, Diploma in Anesthesiology"
170,Dr. Blessy S Bhalla,Nephrologist,16,Delhi,Rani Bagh,87% ,11,1000,"MBBS, MD - Medicine, DM - Nephrology"
171,Dr. Rajkumar Karwani,General Physician,28,Delhi,Panchsheel Park,67% ,3,800,MD - Physician
172,Dr. Amanpreet Jodhka,General Physician,7 ,Delhi,Hari Nagar,50% ,2,400,MD - Physician
173,Dr. Niren Garg,General Physician,22,Delhi,Rohini Sector 24,100% ,N/A,400,"MD - General Medicine, MBBS"
174,Dr. Aviansh Chanana,General Practitioner,4 ,Delhi,Nangloi,N/A,N/A,300,MBBS
175,Dr. Alok Agrawal,General Physician,42,Delhi,Sarita Vihar,N/A,N/A,2000,"MBBS, MD - General Medicine"
176,Dr. Anu Khera,General Physician,24,Delhi,Nangloi,N/A,N/A,500,MBBS
177,Dr. Ramneek Verma,Internal Medicine,45,Delhi,Greater Kailash Part 2,100% ,1,1200,"MD - Medicine, MBBS"
178,Dr. Geetanjali Kochar,Internal Medicine,35,Delhi,Sarita Vihar,N/A,N/A,2000,"MBBS, MRCP (UK)"
179,Dr. Ajay Sinha,General Physician,33,Delhi,Sarita Vihar,50% ,9,1500,"MBBS, MD - General Medicine"
180,Dr. S K Nagrani,General Physician,36,Delhi,Shalimar Bagh,84% ,9,1200,"MBBS, MD - General Medicine"
181,Dr. Navneet  Kaur,General Physician,15,Delhi,Dwarka Sector 8,N/A,N/A,500,MD - Physician
182,Dr. Ashok Sharma,General Physician,45,Delhi,Okhla,100% ,1,1500,MBBS
183,Dr. Ashwani Sharma,General Physician,12,Delhi,Uttam Nagar,50% ,N/A,500,"DNB - Anaesthesia, MBBS"
184,Dr. Prashant Bhatia,General Physician,19,Delhi,Vasant Kunj,N/A,N/A,1500,"MBBS, Diploma in Anesthesiology"
185,Dr. Jeevan Aggarwal,General Physician,22,Delhi,Shalimar Bagh,67% ,N/A,1500,"MBBS, MD - Medicine"
186,Dr. Abha Arora,Psychologist,42,Delhi,Mayur Vihar Ph-III,75% ,6,1100,"MBBS, MS - Counselling and Psychotherapy"
187,Dr. Brajesh Agrawal,Internal Medicine,7 ,Delhi,Mayur Vihar Ph-III,100% ,N/A,800,"MBBS, MD - General Medicine"
188,Dr. S.B Agarwal,General Physician,56,Delhi,Patparganj,100% ,1,800,MBBS
189,Dr. Reshma Chauhan,General Physician,11,Delhi,Sarita Vihar,100% ,9,500,MD - Physician
190,Dr. Shyam Sunder Kanodia,General Physician,42,Delhi,Kamla Nagar,100% ,1,800,MBBS
191,Dr. Vivek Raj,General Physician,28,Delhi,Saket,86% ,6,1500,MBBS
192,Dr. Raj Kumar Jain,General Physician,47,Delhi,Okhla,100% ,N/A,1500,MBBS
193,Dr. Amit Verma,Pharmacist,16,Delhi,Patparganj,N/A,N/A,800,"MBBS, MD - Bio-Chemistry"
194,Dr. Eqbal Ahmed,General Physician,41,Delhi,Patparganj,67% ,5,800,MBBS
195,Dr. Sukesh Kumar,General Physician,6 ,Delhi,IP Extension,100% ,18,300,MBBS
196,Dr. Ravikant Rana,General Physician,5 ,Delhi,Dwarka Sector 12,99% ,253,800,MBBS
197,Dr. Uma Mallaiah,General Physician,28,Delhi,Greater Kailash Part 2,50% ,1,1500,"MBBS, DO"
198,Dr. Tanjot Kaur,General Physician,15,Delhi,Dwarka Sector 12,100% ,3,650,"MBBS, DNB - Family Medicine"
199,Dr. Ashok Gupta,General Surgeon,31,Delhi,Saket,N/A,N/A,1000,"MBBS, MS - General Surgery"
200,Dr. Arun Garg,General Physician,24,Delhi,Okhla,100% ,N/A,1500,MBBS
201,Dr. Sujata Agarwal,General Physician,29,Delhi,Okhla,N/A,N/A,1500,MBBS
202,Dr. Sameer Narad,General Physician,4 ,Delhi,Tagore Garden,100% ,3,500,MBBS
203,Dr. Guglani Sanyyam Ravikant,General Physician,3 ,Delhi,Sultanpuri,N/A,N/A,400,MBBS
204,Dr. Om Prakash Sharma,General Physician,53,Delhi,Sarita Vihar,N/A,N/A,500,"MBBS, MD - Medicine"
205,Dr. Neeraj Awasthy,General Physician,19,Delhi,Saket,67% ,1,600,MBBS
206,Dr. Sharwari Dabhade Dua,General Physician,10,Delhi,Greater Kailash Part 2,83% ,2,1500,"MD - General Medicine, MBBS, Post Graduate Diploma in Endocrinology"
207,Dr. Navin Dalal,Internal Medicine,14,Delhi,Saket,N/A,N/A,1000,"MBBS, MD - General Medicine"
208,Dr. Thara Fotedar,General Physician,21,Delhi,Malviya Nagar,100% ,1,600,MD - Physician
209,Dr. Abha Rathore,General Physician,3 ,Delhi,Dwarka Sector 19,N/A,N/A,200,"MBBS, MD - Biochemistry"
210,Dr. Ankit Tyagi,General Physician,7 ,Delhi,Madhu Vihar,100% ,N/A,700,"MBBS, MD - General Medicine"
211,Dr. Ashok Kumar,General Physician,19,Delhi,Saket,N/A,N/A,1500,"MBBS, MD - General Medicine"
212,Dr. Nidhi Rawal,General Physician,11,Delhi,Malviya Nagar,67% ,N/A,1600,"MBBS, Diplomate of the American Board of Paediatrics"
213,Dr. Abhimanyou Singh Jasrotia,General Physician,1 ,Delhi,Palam Village,N/A,N/A,500,MBBS
214,Dr. Neeraj Pasricha,Homoeopath,40,Delhi,Paschim Vihar,93% ,67,1000,"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)"
215,Dr. Ajay Kumar Ajmani,Endocrinologist,38,Delhi,Pusa Road,89% ,23,1600,"MBBS, MD - General Medicine, DM - Endocrinology"
216,Dr. Deep Goel,Bariatric Surgeon,31,Delhi,Pusa Road,75% ,2,1500,"MBBS, DNB - General Surgery"
217,Dr. Sourabh Nagpal,Dentist,17,Delhi,Vasant Vihar,99% ,621,500,"BDS, MDS - Prosthodontics, Fellowship and Diplomate in Implantology from ICOI (USA), PGDE (Cosmetic & Esthetic Dentist)"
218,Dr. Sapan Vinayak,Pediatrician,22,Delhi,Vasant Kunj,98% ,113,1000,"MBBS, Diploma in Child Health (DCH)"
219,Dr. Manish Jain,Psychiatrist,19,Delhi,Pusa Road,98% ,82,1800,"MBBS, M.D. (Psychiatry)"
220,Dr. Ruchi Gupta,Dentist,15,Delhi,Pitampura,97% ,73,300,BDS
221,Dr. Rajesh Bawari,Orthopedist,32,Delhi,Panchsheel Park,91% ,7,1400,"MBBS, Diploma in Anesthesiology, MS - Orthopaedics"
222,Dr. Malvika Sabharwal,Gynecologist/Obstetrician,41,Delhi,Karol Bagh,88% ,45,1050,"MBBS, DGO"
223,Dr. Shriyans Jain,Sexologist,17,Delhi,Karol Bagh,82% ,89,900,MBBS
224,Dr. Col Akhil Mishra V S M,Nephrologist,56,Delhi,Sarita Vihar,100% ,3,2500,"MBBS, MD - General Medicine, DM - Nephrology"
