,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
43,Dr. SS Kumar,Internal Medicine,48,Bangalore,Seshadripuram,98% ,64,740,"MBBS, MD - General Medicine"
44,Dr. Malla Reddy,Internal Medicine,21,Bangalore,Bannerghatta Road,40% ,3,850,"MBBS, MD - General Medicine"
45,Dr. Shivaram HR,General Physician,21,Bangalore,Kanakpura Road,96% ,255,600,"MBBS, MD - Medicine"
46,Dr. Harish K V,General Physician,26,Bangalore,Richmond Town,88% ,24,1000,"MBBS, MD - General Medicine"
47,Dr. Prashant Dinesh,General Physician,20,Bangalore,Indiranagar,99% ,169,600,MBBS
48,Dr. S M Fayaz,General Physician,11,Bangalore,Kadugodi,98% ,134,600,"MD - General Medicine, MBBS"
49,Dr. Narendra Rao,General Physician,45,Bangalore,Kalkere,96% ,178,650,"MBBS, Diploma in Public Health, MD - Community Medicine"
50,Dr. Harish N S,General Physician,13,Bangalore,Basavanagudi,98% ,94,500,"MBBS, Fellowship in Diabetes (UK), MD - General Medicine"
51,Dr. Ravi Kumar V N,General Physician,24,Bangalore,Yeshwanthpur,100% ,3,850,"MBBS, DNB - General Medicine"
52,Dr. Sheetal Kamat,Internal Medicine,20,Bangalore,Seshadripuram,90% ,7,740,"MBBS, DNB - General Medicine"
53,Dr. Leelamohan PVR,General Physician,13,Bangalore,HSR Layout,91% ,489,750,"MBBS, MD - General Medicine"
54,Dr. Ramesh KN,General Physician,28,Bangalore,Cunningham Road,99% ,28,700,"MBBS, MD - General Medicine"
55,Dr. Girikumar Venati,Internal Medicine,15,Bangalore,Bannerghatta Road,90% ,26,850,"MBBS, MD - Internal Medicine"
56,Dr. N Praveen Kumar,General Physician,Sp,Bangalore,Yelahanka,90% ,38,5,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)"
57,Dr. Balaji Jaganmohan,General Physician,18,Bangalore,Padmanabhanagar,94% ,87,750,MD - Medicine (Equivalent to MBBS)
58,Dr. Neelam Vasudeva,Internal Medicine,10,Bangalore,HSR Layout,94% ,81,500,"MBBS, MD - General Medicine"
59,Dr. Shruti Arya,General Physician,15,Bangalore,Whitefield,88% ,15,800,"MBBS, MD - Internal Medicine"
60,Dr. Sunil S Bohra,General Physician,21,Bangalore,Richmond Town,98% ,34,750,"MBBS, DNB - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)"
61,Dr. Ahmed Husain,General Physician,35,Bangalore,Jayanagar 4 Block,92% ,30,325,MBBS
62,Dr. (Col) Mohan K,Family Physician,31,Bangalore,Vidyanagar,97% ,26,500,"DNB - Family Medicine, MBBS, MNAMS- Family Medicine"
63,Dr. Prathima Narayana Murthy,General Physician,22,Bangalore,Indiranagar,N/A,N/A,550,MBBS
64,Dr. Sagarika C S,General Physician,1 ,Bangalore,Indiranagar,N/A,N/A,500,MBBS
65,Dr. Shashidhara G,Internal Medicine,27,Bangalore,HSR Layout,58% ,11,500,"MBBS, MD - General Medicine"
66,Dr. Diptee,General Physician,7 ,Bangalore,Bannerghatta Road,89% ,38,750,MBBS
67,Dr. Bindu suresh,General Physician,20,Bangalore,Bellandur,89% ,11,600,"MBBS, MD - General Medicine"
68,Dr. Vasanthakumar R.S,Nephrologist,42,Bangalore,Seshadripuram,80% ,3,740,"MBBS, MD - General Medicine, DM - Nephrology"
69,Dr. Dinesh V Kamath,General Physician,36,Bangalore,Malleswaram,94% ,15,650,"MBBS, MD - General Medicine"
70,Dr. Jayasree Kailasam,Internal Medicine,24,Bangalore,Bannerghatta Road,100% ,1,850,"MBBS, DNB - General Medicine"
71,Dr. Shankar V,General Physician,37,Bangalore,Malleswaram,77% ,9,650,"MBBS, MD - General Medicine"
72,Dr. Mahesh Chandra Pai,Internal Medicine,23,Bangalore,Yeshwanthpur,96% ,109,600,"MBBS, DNB - General Medicine"
73,Dr. Anusuya Shetty,Internal Medicine,24,Bangalore,Bellandur,71% ,24,650,"MBBS, DNB - General Medicine"
74,Dr. U V U Vamsidhar Reddy,Gastroenterologist,9 ,Bangalore,Yeshwanthpur,100% ,4,500,"MBBS, MD - General Medicine, DM - Hepatology"
75,Dr. Daisy Rani Rao,Dietitian/Nutritionist,41,Bangalore,Kalkere,88% ,60,550,"MBBS, DO, Diploma in Dietetics & Public Health Nutrition (DDPHN)"
76,Dr. K. N. Manjunath,Internal Medicine,44,Bangalore,Millers Road,89% ,9,1000,"MBBS, DNB - General Medicine"
77,Dr. K. J. Irfan,General Physician,15,Bangalore,Hebbal,100% ,N/A,800,"MD - General Medicine, MBBS"
78,Dr. Yashoda  Ravi,General Physician,11,Bangalore,Cunningham Road,95% ,1,700,"MBBS, MD - General Medicine, MRCP (UK)"
79,Dr. Ambanna Gowda,Internal Medicine,12,Bangalore,Vasanthnagar,86% ,21,800,"MBBS, MD - General Medicine"
80,Dr. Basavaraj Kuntoji,General Physician,22,Bangalore,Malleswaram,100% ,5,650,"MBBS, MD - General Medicine"
81,Dr. Shalini C,Family Physician,13,Bangalore,Shantinagar,96% ,60,600,"MBBS, DNB - Family Medicine"
82,Dr. Rekha G,General Physician,9 ,Bangalore,T Dasarahalli,99% ,42,500,"MD - General Medicine, MBBS"
83,Dr. A Vijaya Vardhan,Internal Medicine,33,Bangalore,Basavanagudi,93% ,8,600,"MBBS, MD - General Medicine"
84,Dr. Shilpa Singi,General Physician,23,Bangalore,Kundalahalli,80% ,17,650,"DNB - General Medicine, MBBS"
85,Dr. T.N Venkata Subba Rao,General Physician,30,Bangalore,Banaswadi,97% ,131,650,MBBS
86,Dr. Raakhee Padival,General Physician,22,Bangalore,Indiranagar,82% ,21,600,MBBS
87,Dr. Huzefa Suratwala  Ismail,General Physician,23,Bangalore,AECS Layout,86% ,31,600,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - General Medicine"
88,Dr. KVS Mahesh,General Physician,26,Bangalore,Indiranagar,87% ,5,500,MBBS
89,Dr. Ashok M N,General Physician,21,Bangalore,Rajajinagar,87% ,14,560,"DNB - General Medicine, MBBS"
90,Dr. John Paul M,General Physician,8 ,Bangalore,Yeshwanthpur,95% ,17,600,"MBBS, MD - General Medicine"
91,Dr. Poonam Chandra Awatare,General Physician,5 ,Bangalore,Whitefield,N/A,N/A,850,"MBBS, DNB - General Medicine"
92,Dr. Uvaraj Prakash,General Physician,23,Bangalore,RT Nagar,100% ,8,400,MBBS
93,Dr. Susheela Suresh,Internal Medicine,37,Bangalore,Ashoknagar,62% ,6,800,"MD - General Medicine, MBBS"
94,Dr. Anusha N D,General Physician,11,Bangalore,Koramangala,100% ,61,600,"MBBS, MD - General Medicine, DM - Endocrinology"
95,Dr. Shabbir Ahmed,General Physician,47,Bangalore,Koramangala 5 Block,67% ,2,800,MBBS
96,Dr. Anilkumar A Kustagi,Internal Medicine,17,Bangalore,Bannerghatta Road,80% ,24,850,"MBBS, MD - General Medicine"
97,Dr. Niveditha Alok Swamy,General Physician,12,Bangalore,Basaveshwaranagar,100% ,13,500,"MBBS, MD - General Medicine"
98,Dr. Divya K S,General Physician,15,Bangalore,Seshadripuram,100% ,3,900,"MBBS, DNB - General Medicine"
99,Dr. C Sivarama Krishna,General Physician,Sp,Bangalore,Bellandur,97% ,60,4,"MBBS, MD - Pharmacology"
100,Dr. Kavitha,General Physician,19,Bangalore,Yeshwanthpur,100% ,33,600,"MBBS, DNB - Family Medicine"
101,Dr. S Vijayalakshmi,General Physician,24,Bangalore,Mahadevapura,N/A,N/A,600,MBBS
102,Dr. Santhosh Kumar,Cardiologist,18,Bangalore,JP Nagar 7 Phase,67% ,3,600,"DM - Cardiology, MD - General Medicine, MBBS"
103,Dr. Rajendra Narayan Sharma,General Physician,30,Bangalore,Koramangala 5 Block,20% ,4,650,MBBS
104,Dr. Vinayak M,Oncologist,12,Bangalore,Richmond Town,N/A,N/A,1000,"MBBS, MD - Pediatrics, DM - Medical Oncology"
105,Dr. Minakshi Dutta,General Physician,36,Bangalore,Domlur,100% ,1,500,MBBS
106,Dr. Anil Kumar Jain,General Physician,10,Bangalore,Chickpet,87% ,25,350,MBBS
107,Dr. Sumathi Sampath,General Physician,Sp,Bangalore,Kaggadasapura,N/A,N/A,2,MBBS
108,Dr. Yeshwanth H,General Physician,16,Bangalore,Banashankari,100% ,3,400,"MBBS, MD - General Medicine"
109,Dr. S K Krishnan,General Physician,21,Bangalore,Kundalahalli,N/A,N/A,600,MBBS
110,Dr. Bhavya,General Physician,9 ,Bangalore,Uttarahalli,100% ,1,350,"MBBS, MD - General Medicine"
111,Dr. Vidya. S,General Physician,20,Bangalore,Sarjapur Road,100% ,1,550,MBBS
112,Dr. Ashwini Rao,General Physician,15,Bangalore,Mathikere - BEL,100% ,N/A,300,MBBS
113,Dr. Zulfia Q,General Physician,14,Bangalore,Kasavanahalli,N/A,N/A,600,MBBS
114,Dr. Naveed,General Physician,28,Bangalore,Banaswadi,60% ,2,700,MBBS
115,Dr. Sheetal Brahmesh,General Physician,18,Bangalore,Seshadripuram,N/A,N/A,740,MBBS
116,Dr. Ameena Meah,General Physician,11,Bangalore,Mahadevapura,100% ,34,700,"MBBS, MD - General Medicine, DNB - General Medicine"
117,Dr. Sahana,General Physician,9 ,Bangalore,Nayandahalli,100% ,1,500,"MBBS, MD - General Medicine"
118,Dr. Qaisar Anwar,General Physician,42,Bangalore,Ashoknagar,75% ,4,800,"MBBS, MD - General Medicine"
119,Dr. Praveen Kumar B S,Pulmonologist,15,Bangalore,Kammana Halli,80% ,2,750,"MBBS, MD - Pulmonary Medicine"
120,Dr. Chetan S,General Physician,8 ,Bangalore,Kundalahalli,75% ,N/A,650,"MBBS, MD - General Medicine"
121,Dr. Mandvi,General Physician,15,Bangalore,Mahadevapura,N/A,N/A,700,MD - Physician
122,Dr. Sanjay Kumar H R,General Physician,10,Bangalore,Banashankari 3rd Stage,N/A,N/A,400,"MBBS, MD - General Medicine"
123,Dr. Chaithanya Ravikumar,General Physician,6 ,Bangalore,Sarjapur Road,N/A,N/A,650,"MBBS, MD - General Medicine"
124,Dr. Adimalla Raja Kumar,Pulmonologist,6 ,Bangalore,Kundalahalli,N/A,N/A,750,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine"
125,Dr. Bhuvana,General Physician,8 ,Bangalore,Ashoknagar,N/A,N/A,800,"MBBS, MD - General Medicine"
126,Dr. Rajashekharayya Vastrad,General Physician,9 ,Bangalore,Mahadevapura,N/A,N/A,500,MBBS
127,Dr. Nishant Gaurav,General Physician,1 ,Bangalore,Mahadevapura,N/A,N/A,500,MBBS
128,Dr. Malathi Ramesh,General Physician,30,Bangalore,HSR Layout,98% ,260,400,MBBS
129,Dr. P. Suprabha,General Physician,34,Bangalore,Whitefield,95% ,83,450,MBBS
130,Dr. Ravishankar Reddy C. R.,Neurologist,29,Bangalore,Koramangala 1 Block,88% ,238,1000,"MBBS, MD - General Medicine, DNB - Neurology"
131,Dr. Meer Ziauddin,General Physician,30,Bangalore,Whitefield,87% ,27,500,MBBS
132,Dr. Purnima K,General Physician,16,Bangalore,Hulimavu,100% ,76,500,"MBBS, DNB - General Medicine"
133,Dr. Sarita Ramachandran,General Physician,28,Bangalore,Sanjay Nagar,98% ,33,450,MBBS
134,Dr. R Manjunath,Internal Medicine,33,Bangalore,Jayanagar 9 Block,86% ,41,650,"MBBS, MD - General Medicine"
135,Dr. Dhananjay Bhaskarachrar,General Physician,21,Bangalore,Bommanahalli,96% ,48,500,MBBS
136,Dr. Srikanth S.,General Physician,8 ,Bangalore,Jayanagar 3 Block,100% ,30,250,"MBBS, MD - Community Medicine"
137,Dr. Sujatha K.C,General Practitioner,23,Bangalore,Bileshivale,100% ,22,400,MBBS
138,Dr. Pankaj Singhai,Internal Medicine,28,Bangalore,Old Airport Road,87% ,45,750,"DNB - General Medicine, MBBS"
139,Dr. Rupashree S P,General Physician,31,Bangalore,Koramangala 5 Block,93% ,12,700,"MBBS, DNB - General Medicine"
140,Dr. Varsha Narayanan,General Practitioner,8 ,Bangalore,L B Sashtrinagar,100% ,1,300,"MBBS, MD - Pathology"
141,Dr. Zakira Jahan,General Physician,Sp,Bangalore,BTM Layout 1st Stage,94% ,11,4,MBBS
142,Dr. Kishan J K,General Physician,5 ,Bangalore,Koramangala 4 Block,100% ,18,300,MBBS
143,Dr. Saikiran. S,General Physician,22,Bangalore,Vijayanagar,93% ,88,700,"MBBS, MD - Family Medicine"
144,Dr. Lakshmi P V,Emergency & Critical Care,21,Bangalore,JP Nagar 8 Phase,99% ,107,400,"MBBS, Member of Royal College of Emergency Medicine(MRCEM)"
145,Dr. Vinay D,Infectious Diseases Physician,13,Bangalore,Jayanagar,93% ,12,630,"FNB - Infectious Disease, DNB - General Medicine, DNB - Infectious Disease, MBBS"
146,Dr. Kanchan Govindraj,General Physician,10,Bangalore,Kalyan Nagar,N/A,N/A,650,"MD - General Medicine, MBBS"
147,Dr. U Himanish,General Physician,21,Bangalore,Doddabommasandra,100% ,19,700,MD - Physician
148,Dr. Aswathy Mary James,Internal Medicine,21,Bangalore,Jayanagar,100% ,1,750,"MBBS, DNB - General Medicine"
149,Dr. Swarna Das,Internal Medicine,30,Bangalore,Bannerghatta Road,82% ,7,850,"MBBS, MD - General Medicine"
150,Dr. Soumya Y S,Family Physician,24,Bangalore,Uttarahalli,98% ,129,500,"MBBS, DNB - Family Medicine"
151,Dr. Sharat Honnatti,General Physician,19,Bangalore,HSR Layout,96% ,574,750,MD - Physician
152,Dr. Sujith M S,Internal Medicine,8 ,Bangalore,Singasandra,100% ,8,650,"MBBS, DNB - General Medicine"
153,Dr. H R Chandrika,General Physician,31,Bangalore,Jayanagar 9 Block,82% ,7,250,"MBBS, Diploma in Clinical Pathology"
154,Dr. B. Pradeep Kumar,General Physician,31,Bangalore,Murugeshpalya,63% ,2,250,MBBS
155,Dr. Tharanath S,General Physician,10,Bangalore,Sahakaranagar,99% ,73,550,"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetes Management"
156,Dr. Uma. M,General Physician,13,Bangalore,Electronics City,98% ,218,500,MBBS
157,Dr. N Prasanth Kumar,Ear-Nose-Throat (ENT) Specialist,26,Bangalore,Siddapura,77% ,8,500,"MBBS, Diploma in Otorhinolaryngology (DLO)"
158,Dr. Kalaivani,General Physician,23,Bangalore,HSR Layout,85% ,44,500,"MBBS, MD - General Medicine"
159,Dr. Mohan Badagandi,General Physician,47,Bangalore,Old Airport Road,92% ,24,900,MBBS
160,Dr. Sudha Menon,Internal Medicine,39,Bangalore,Bannerghatta Road,88% ,69,850,"MBBS, MD - General Medicine"
161,Dr. Basanth Kumar.S,General Physician,19,Bangalore,Kalyan Nagar,91% ,3,650,"MBBS, MD - General Medicine"
162,Dr. Anupama S Kakade,General Physician,18,Bangalore,Indiranagar,90% ,11,650,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)"
163,Dr. Asha R,Internal Medicine,23,Bangalore,Jayanagar 9 Block,86% ,1,500,"MD - General Medicine, MBBS"
164,Dr. P S Santhan,General Physician,48,Bangalore,Malleswaram,N/A,N/A,300,MBBS
165,Dr. Anshuman Khaitan,General Physician,45,Bangalore,Koramangala 5 Block,56% ,5,1000,MBBS
166,Dr. Sheela Abraham,General Physician,35,Bangalore,Kundalahalli,100% ,10,600,MBBS
167,Dr. Priyanka P,Internal Medicine,13,Bangalore,Banaswadi,100% ,11,400,"MBBS, MD - General Medicine, DNB - General Medicine"
168,Dr. Sachin,General Physician,13,Bangalore,Hebbal,97% ,66,650,"MBBS, MD - General Medicine"
169,Dr. Pradeep G,General Physician,21,Bangalore,Chikkakallasandra,40% ,4,300,MBBS
170,Dr. Ramesh Kumar R N,General Physician,50,Bangalore,JP Nagar 7 Phase,83% ,4,400,MBBS
171,Dr. Harish R J,General Physician,21,Bangalore,Munnekollal,99% ,77,650,MBBS
172,Dr. Chinthan S Gubbari,Pediatrician,11,Bangalore,Vinayaka Nagar,97% ,16,250,"MD - Pediatrics, MBBS"
173,Dr. Steve Paul Manjaly,General Physician,11,Bangalore,Bannerghatta Road,N/A,N/A,900,"DNB - General Medicine, MBBS"
174,Dr. Akshatha K Gowda,General Physician,5 ,Bangalore,Banashankari 3rd Stage,100% ,2,250,"MBBS, MD - General Medicine"
175,Dr. Teena Thomas,General Physician,24,Bangalore,Varthur,91% ,143,800,MBBS
176,Dr. Vishwesh Babu Vishnumurthy,General Physician,21,Bangalore,TATA Nagar,100% ,108,700,MBBS
177,Dr. Vikram  K,General Physician,Sp,Bangalore,Rajarajeshwarinagar,100% ,21,8,MBBS
178,Dr. Vishwanath BL,General Physician,18,Bangalore,Kumaraswamy Layout,97% ,34,500,"MBBS, MD - General Medicine"
179,Dr. Basavaraj GS,Endocrinologist,14,Bangalore,Koramangala,98% ,83,600,"MBBS, MD - General Medicine, DM - Endocrinology"
180,Dr. Sheeba Rani,Psychologist,23,Bangalore,Koramangala,91% ,11,500,"BHMS, MD - Homeopathy, MS - Counselling and Psychotherapy"
181,Dr. Vinay H G,General Surgeon,14,Bangalore,Whitefield,100% ,11,400,"MBBS, MS - General Surgery"
182,Dr. Manohar K N,Internal Medicine,20,Bangalore,Old Airport Road,71% ,40,750,"MD - General Medicine, MBBS"
183,Dr. Suresh G,General Physician,32,Bangalore,Bellandur,75% ,13,650,"MBBS, MD - General Medicine"
184,Dr. Somnath Mitra,General Physician,38,Bangalore,Old Airport Road,76% ,32,750,"MBBS, MD - General Medicine"
185,Dr. Suresh. K. G,Internal Medicine,24,Bangalore,Old Airport Road,76% ,7,750,"MBBS, MD - General Medicine"
186,Dr. Nanditha C N,General Physician,4 ,Bangalore,Yelahanka New Town,100% ,4,350,"MBBS, MD - General Medicine"
187,Dr. Abdul Rasheed,General Physician,33,Bangalore,RT Nagar,N/A,N/A,300,MBBS
188,Dr. Urvashi Jain,General Physician,11,Bangalore,Kasavanahalli,92% ,9,400,"DNB - General Medicine, MBBS"
189,Dr. Rajendra Prasad,Internal Medicine,35,Bangalore,Koramangala 5 Block,60% ,46,500,"MD - General Medicine, MBBS"
190,Dr. Darshini Mehta,General Physician,5 ,Bangalore,HSR Layout,83% ,36,500,MBBS
191,Dr. Akshay Rao,General Physician,13,Bangalore,Sanjay Nagar,N/A,N/A,600,"MBBS, MD - General Medicine"
192,Dr. Ashwani Garg,General Physician,12,Bangalore,Horamavu,100% ,1,2000,MBBS
193,Dr. Muneeb Ahmed Yasir,Endocrinologist,22,Bangalore,Richmond Town,98% ,62,650,"MBBS, MRCP (UK)"
194,Dr. Rajesh K,General Physician,10,Bangalore,Mahadevapura,99% ,57,600,"MD - Emergency Medicine, MBBS"
195,Dr. H.M.Krishnamurthy,General Physician,38,Bangalore,Sampangiramnagar,100% ,1,800,MBBS
196,Dr. Lekshmi Narendran,General Physician,12,Bangalore,JP Nagar 7 Phase,100% ,10,500,MBBS
197,Dr. Chethan Erappa,General Physician,Sp,Bangalore,New Thippasandra,98% ,84,8,"MBBS, MD - General Medicine, Fellowship in Gastroenterology"
198,Dr. Kavita Manwani,General Physician,26,Bangalore,JP Nagar 7 Phase,100% ,1,600,MBBS
199,Dr. Prathibha,General Practitioner,14,Bangalore,Kothanur,100% ,42,350,MBBS
200,Dr. Shashank G,General Physician,1 ,Bangalore,Electronics City,100% ,N/A,200,MBBS
201,Dr. Girish B Raj,General Physician,16,Bangalore,Akshaya nagar,100% ,7,600,MBBS
202,Dr. Anitha M Dias,Internal Medicine,10,Bangalore,Old Airport Road,40% ,3,750,"MBBS, MD - General Medicine"
203,Dr. S. Lokesh,Internal Medicine,12,Bangalore,KR Puram,100% ,5,350,"MBBS, MD - General Medicine"
204,Dr. Mohammed Tauseef,General Physician,15,Bangalore,Koramangala,100% ,5,500,MBBS
205,Dr. Swetha J,General Physician,12,Bangalore,Nagasandra,95% ,29,600,"MBBS, MD - General Medicine"
206,Dr. Jeevan B,General Physician,7 ,Bangalore,Banashankari 3rd Stage,N/A,N/A,250,"MD - General Medicine, MBBS"
207,Dr. Gowthami,Family Physician,8 ,Bangalore,Bommanahalli,100% ,8,500,"MBBS, MD - Community Medicine"
208,Dr. Shivaji Rao C S,Internal Medicine,48,Bangalore,JP Nagar 7 Phase,50% ,4,650,"MBBS, MD - General Medicine"
209,Dr. Manjunath K,General Physician,30,Bangalore,Rajajinagar,100% ,1,560,"MBBS, DNB - General Medicine"
210,Dr. Kiran Jagalurappa,General Physician,20,Bangalore,Rajajinagar,100% ,N/A,560,"MBBS, MD - General Medicine"
211,Dr. Jagadeesh K H,General Physician,16,Bangalore,Sarjapur Road,100% ,4,600,"MBBS, DNB - General Medicine"
212,Dr. Ranjit Mohan,General Physician,11,Bangalore,Old Airport Road,80% ,4,750,"MBBS, MD - General Medicine"
213,Dr. Suma G K,General Physician,6 ,Bangalore,BTM Layout 1st Stage,N/A,N/A,320,MD - Physician
214,Dr. Lorraine S Dias,General Physician,18,Bangalore,Vijayanagar,100% ,42,700,"MBBS, MD - General Medicine"
215,Dr. Bhavya K.S.,General Physician,15,Bangalore,Ashoknagar,N/A,N/A,800,MBBS
216,Dr. Ashwini N G,Internal Medicine,6 ,Bangalore,HSR Layout,N/A,N/A,500,"MBBS, MD - General Medicine"
217,Dr. Nidhi Nayak,General Physician,9 ,Bangalore,Basavanagudi,100% ,2,600,"DNB - Family Medicine, MBBS"
218,Dr. Chinmayi C,Diabetologist,22,Bangalore,Nagarbhavi,100% ,1,250,MBBS
219,Dr. Himaaldev G J,Emergency & Critical Care,10,Bangalore,Seshadripuram,N/A,N/A,740,"MBBS, MD - Anaesthesiology"
220,Dr. Uma Buggi,Internal Medicine,32,Bangalore,Koramangala 5 Block,25% ,4,500,"MBBS, MD - General Medicine"
221,Dr. Samith A Shetty,General Physician,22,Bangalore,Vasanthnagar,95% ,50,900,MBBS
222,Dr. Uma Sekar,General Physician,10,Bangalore,Vijayanagar,95% ,42,500,"MBBS, MD - General Medicine"
