,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
21,Dr. Jeetendra Jadhav,General Surgeon,22,Mumbai,Borivali West,91% ,27,799,"MS - General Surgery, MBBS"
22,Dr. Gaurav Shalya,Plastic Surgeon,14,Mumbai,Chembur,100% ,4,1000,"MBBS, MCh - Plastic Surgery, MS - General Surgery"
23,Dr. Shulmit Vaidya,General Surgeon,21,Mumbai,Ghatkopar East,N/A,N/A,500,"MBBS, MS - General Surgery"
24,Dr. Jyoti Sable,General Surgeon,15,Mumbai,Borivali West,N/A,N/A,699,"MBBS, DNB - General Surgery"
25,Dr. Bulchandani Santosh Kumar Kamal,Ophthalmologist,22,Mumbai,Bandra West,100% ,N/A,299,"MBBS, DO, DOMS, DNB - Ophthalmology"
26,Dr. Sanjay Shah,General Physician,37,Mumbai,Mulund West,87% ,10,1500,"MBBS, MD - General Medicine"
27,Dr. Raman Shenoy,General Physician,23,Mumbai,Mulund West,100% ,N/A,1500,"MBBS, MD - General Medicine"
28,Dr. Rajanshu Tiwari,General Physician,12,Mumbai,Chembur,93% ,57,800,"MBBS, DNB - Family Medicine"
29,Dr. Shradha Doshi,General Physician,11,Mumbai,Mulund West,100% ,7,900,MBBS
30,Dr. Rohit Munot,Plastic Surgeon,17,Mumbai,Andheri West,67% ,3,500,"MBBS, MCh - Plastic & Reconstructive Surgery"
31,Dr. Gail Chaudhari,General Physician,29,Mumbai,Oshiwara,95% ,20,600,MBBS
32,Dr. Madhulika Goyle,General Physician,15,Mumbai,Andheri West,88% ,6,800,MBBS
33,Dr. Rupesh.N.Nayak,General Physician,15,Mumbai,Chembur,96% ,14,800,"MBBS, DNB - General Medicine"
34,Dr. Dhrumil Vinesh Panchal,General Physician,7 ,Mumbai,Wadala,96% ,48,600,MBBS
35,Dr. Seema S. Masrani,General Physician,29,Mumbai,Kandivali West,88% ,3,1000,MBBS
36,Dr. Irfan Mamawala,General Physician,22,Mumbai,Cuffe Parade,100% ,5,600,MBBS
37,Dr. Dias Jewel Josephine James,General Physician,6 ,Mumbai,Borivali West,100% ,2,600,MBBS
38,Dr. Sumeeta Padgaonkar,General Physician,24,Mumbai,Kemps Corner,100% ,4,600,MBBS
39,Dr. Amey Jadhav,General Physician,10,Mumbai,Parel,100% ,15,600,MBBS
40,Dr. Vaijayanti Mahajan,General Physician,23,Mumbai,Bandra East,95% ,28,800,MBBS
41,Dr. Pratibha Shukla,General Physician,7 ,Mumbai,Mulund West,100% ,5,400,MBBS
42,Dr. Samvaad Shetty,General Physician,10,Mumbai,Andheri East,100% ,16,900,MBBS
43,Dr. Saidu Mukesh Kota,General Physician,5 ,Mumbai,Dadar East,93% ,12,500,MBBS
44,Dr. Kiran C Mhatre,General Physician,24,Mumbai,Chembur East,85% ,18,1000,"MBBS, MD - General Medicine"
45,Dr. Kalpana B Tiwari,General Physician,11,Mumbai,Chembur,100% ,31,600,"MBBS, DNB - Family Medicine"
46,Dr. Bharti Desai,General Physician,36,Mumbai,Matunga West,89% ,13,600,MBBS
47,Dr. Kshitija Arjun Khillare,General Physician,2 ,Mumbai,Powai,100% ,N/A,600,MD - Medicine (Equivalent to MBBS)
48,Dr. Anshudeep Dodake,General Physician,11,Mumbai,Parel,100% ,13,500,"MBBS, MD - Pharmacology"
49,Dr. Harshil Shah,Pulmonologist,5 ,Mumbai,Kandivali West,80% ,8,1500,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine"
50,Dr. Vijay Agarwal,General Physician,40,Mumbai,Kandivali East,95% ,28,500,MBBS
51,Dr. Mili S. Joshi,Pediatrician,25,Mumbai,Santacruz East,97% ,56,600,"MBBS, Diploma in Child Health (DCH)"
52,Dr. Sangeeta Chokhani,General Physician,32,Mumbai,Andheri West,100% ,13,500,MBBS
53,Dr. Ameet Thakkar,General Physician,33,Mumbai,Wadala,98% ,42,700,MBBS
54,Dr. Harish V. Dhuri,General Physician,26,Mumbai,Goregaon West,86% ,19,700,MBBS
55,Dr. Tanvi Mayur Patel,General Physician,16,Mumbai,Juhu,88% ,31,2500,"MBBS, DOMS"
56,Dr. Sahil Nasir Fulara,General Physician,11,Mumbai,Peddar Road,100% ,135,2500,"MD - General Medicine, MBBS"
57,Dr. Kavita Agarwal,General Physician,40,Mumbai,Kandivali East,100% ,31,500,MBBS
58,Dr. Bhavik Saglani,General Physician,Sp,Mumbai,Tardeo,100% ,30,3,MBBS
59,Dr. Paula Goel,General Physician,31,Mumbai,Prabhadevi,70% ,8,500,MBBS
60,Dr. Mayur Shrirang ghadage,General Physician,7 ,Mumbai,Lower Parel,91% ,5,800,MBBS
61,Dr. Shobha Subramanian Itolikar,General Physician,16,Mumbai,Mulund West,100% ,1,1500,"MBBS, MD - General Medicine, DNB - General Medicine"
62,Dr. Ujjyani Sengupta Pawar,General Physician,2 ,Mumbai,Vileparle West,100% ,48,950,MD - Medicine (Equivalent to MBBS)
63,Dr. Swaroop Y Choudhari,General Physician,10,Mumbai,Andheri East,100% ,1,700,"MD - General Medicine, MBBS"
64,Dr. S. S. Duggal,General Physician,39,Mumbai,Andheri West,85% ,9,1500,MBBS
65,Dr. Anita Mathew Davis,General Physician,25,Mumbai,Mulund West,100% ,11,1500,"MBBS, MD - General Medicine"
66,Dr. Amita Mody,General Physician,37,Mumbai,Bhandup East,94% ,29,500,MBBS
67,Dr. Virag Gokhale,General Physician,45,Mumbai,Mulund West,100% ,1,1500,"MBBS, DNB - General Medicine"
68,Dr. Rekha Kadam,General Physician,24,Mumbai,Kandivali West,100% ,2,500,MBBS
69,Dr. Mansi Bhatt,General Physician,6 ,Mumbai,Prabhadevi,100% ,1,600,MBBS
70,Dr. Rupal V Rana,General Physician,21,Mumbai,Borivali West,97% ,29,1920,MBBS
71,Dr. Sanchaita Garg Shah,General Physician,12,Mumbai,Parel,92% ,19,700,"MBBS, MD - Medicine"
72,Dr. Alka Dilip Bhedi,General Physician,44,Mumbai,Mulund West,100% ,N/A,1500,"MBBS, MD - General Medicine"
73,Dr. Pradip Padamsi Shah,Internal Medicine,42,Mumbai,Mulund West,75% ,7,1500,"MBBS, MD - General Medicine"
74,Dr. Ram Krishna Modi,General Physician,44,Mumbai,Mulund West,69% ,7,1500,"MBBS, MD - General Medicine"
75,Dr. Manjeet Singh Arora,General Physician,39,Mumbai,Mulund West,100% ,1,1500,MBBS
76,Dr. Pankaj Mistry,General Physician,40,Mumbai,Vileparle East,98% ,37,2000,"MBBS, MD - General Medicine"
77,Dr. Trupti Gilada,General Physician,Sp,Mumbai,Lamington Road,83% ,6,5,"MBBS, MD - General Medicine"
78,Dr. Binita Mehta,General Physician,25,Mumbai,Lokhandwala,100% ,2,600,MBBS
79,Dr. Naresh Shetty,General Physician,34,Mumbai,Mulund West,100% ,N/A,1500,"MBBS, MD - General Medicine"
80,Dr. Pradeep Talwalkar,Internal Medicine,45,Mumbai,Mahim,96% ,11,2000,"MBBS, MD - General Medicine"
81,Dr. Umakant V. Ragte,General Physician,46,Mumbai,Mumbai Central,75% ,3,550,MBBS
82,Dr. Nainesh Meswani,General Physician,28,Mumbai,Kurla West,100% ,1,500,MBBS
83,Dr. Manish Shirsat,Internal Medicine,24,Mumbai,Mulund West,100% ,N/A,1500,"MBBS, MD - General Medicine"
84,Dr. Indumathi Kuberan,General Physician,Sp,Mumbai,Borivali East,100% ,246,9,MBBS
85,Dr. Anju Meswani,General Physician,22,Mumbai,Kurla West,80% ,5,650,MBBS
86,Dr. Pritish Achalia,General Physician,24,Mumbai,Parel,100% ,3,500,MBBS
87,Dr. Gaurav Beswal,General Physician,Sp,Mumbai,Opera House,100% ,248,6,MBBS
88,Dr. Amish Mhatre,General Physician,24,Mumbai,Mulund West,20% ,3,2000,"MBBS, DNB - Peripheral Vascular Surgery"
89,Dr. Tushar Rane,General Physician,15,Mumbai,Chembur,80% ,1,1200,"MBBS, FCPS - Medicine"
90,Dr. Aniket Mule,General Physician,7 ,Mumbai,Mira Road,75% ,3,900,"MD - General Medicine, MBBS"
91,Dr. Shubhashree Patil,Diabetologist,17,Mumbai,Andheri East,99% ,230,1000,"MBBS, DNB - General Medicine, Diploma in Diabetology (Mumbai University)"
92,Dr. Yatin Gadgil,General Physician,24,Mumbai,Mahim,100% ,35,1300,"MBBS, MD - General Medicine"
93,Dr. Anil  Bhoraskar,General Physician,44,Mumbai,Mahim,100% ,3,2300,"MBBS, MD - Medicine"
94,Dr. Shoibalini Karmokar,General Physician,2 ,Mumbai,Santacruz West,100% ,12,900,MBBS
95,Dr. Nirav Navin Tanna,General Physician,16,Mumbai,Kalbadevi,100% ,1,1000,MD - Physician
96,Dr. Akshay Jain,General Physician,8 ,Mumbai,Lower Parel,99% ,103,500,MBBS
97,Dr. Disha Bhanushali,General Physician,6 ,Mumbai,Mulund West,100% ,5,1000,"MBBS, Diploma in Child Health (DCH)"
98,Dr. Veda,General Physician,21,Mumbai,Santacruz West,N/A,N/A,1500,MBBS
99,Dr. Swati Vilas Indulkar,Ayurveda,31,Mumbai,Sion Koliwada,N/A,N/A,250,BAMS
100,Dr. Sanjay Meriya,General Physician,9 ,Mumbai,Jogeshwari East,100% ,1,500,MBBS
101,Dr. Suresh Jain,General Physician,30,Mumbai,Parel,N/A,N/A,1850,"MBBS, MD - General Medicine"
102,Dr. Akshay Kumar,General Physician,1 ,Mumbai,Vikhroli East,N/A,N/A,299,MBBS
103,Dr. Siddharth Vinod Lakhani,Nephrologist,13,Mumbai,Mahim,100% ,21,1800,"MBBS, MD - General Medicine, DM - Nephrology, DNB - Nephrology"
104,Dr. Vijay Kulkarni,General Physician,18,Mumbai,Mahim,100% ,1,2300,MBBS
105,Dr. Avinash Deo,General Physician,31,Mumbai,Mahim,89% ,13,1800,"MBBS, MD - General Medicine"
106,Dr. Ashwini Bansode,General Physician,18,Mumbai,Andheri West,87% ,25,600,"MBBS, DOMS"
107,Dr. A M Argikar,General Physician,28,Mumbai,Mahim,100% ,4,2300,"MBBS, MD - Medicine"
108,Dr. R.B. Phatak,Internal Medicine,38,Mumbai,Mahim,100% ,N/A,2300,"MBBS, MD - Medicine"
109,Dr. D K Baheti,General Physician,46,Mumbai,Mahim,N/A,N/A,1300,"MBBS, MD - Anaesthesiology"
110,Dr. Rituparna Roy,General Physician,16,Mumbai,Andheri West,97% ,33,800,"MBBS, DNB - Family Medicine"
111,Dr. Adwait Patil,General Physician,36,Mumbai,Mahim,N/A,N/A,1300,"MBBS, MD - Medicine"
112,Dr. Hardik Shah,General Physician,24,Mumbai,Mahim,100% ,N/A,1300,"MBBS, MD - General Medicine"
113,Dr. Alpana Sowani,Diabetologist,21,Mumbai,Mahim,86% ,4,1300,"MBBS, Diploma in Diabetology (Maharashtra University of Health Science)"
114,Dr. Ravindra Hodarkar,Urologist,45,Mumbai,Mahim,43% ,9,1300,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery"
115,Dr. Uday Hegdekar,General Physician,36,Mumbai,Mahim,N/A,N/A,1800,"MBBS, MD - General Medicine"
116,Dr. Aman  Syed,Internal Medicine,18,Mumbai,Andheri West,100% ,16,1500,"MBBS, MD - General Medicine"
117,Dr. Santosh Jagtap,General Physician,27,Mumbai,Chembur East,92% ,9,1000,"MBBS, MD - General Medicine"
118,Dr. Aarya Patil,General Physician,2 ,Mumbai,Vileparle,100% ,1,250,MBBS
119,Dr. Sapna Shetty,General Physician,18,Mumbai,Borivali West,100% ,2,700,"MBBS, MD - General Medicine"
120,Dr. Nikhil Kulkarni,General Physician,27,Mumbai,Mahim,50% ,1,2500,"MBBS, MD - General Medicine"
121,Dr. Amitkumar Shah,General Physician,16,Mumbai,Andheri West,100% ,N/A,800,"MBBS, DNB - General Medicine, FCPS - Medicine"
122,Dr. Umesh Shantilal Wadile,General Physician,13,Mumbai,Malad West,N/A,N/A,500,"MBBS, DNB - General Medicine"
123,Dr. Tarun Jain,General Physician,14,Mumbai,Kandivali,N/A,N/A,800,MBBS
124,Dr. Sunita Jonwal,Ayurveda,14,Mumbai,Kandivali West,90% ,132,800,MD - Ayurveda Medicine
125,Dr. Jayashree Todkar,Bariatric Surgeon,30,Mumbai,Powai,95% ,7,1500,"MBBS, MS - General Surgery"
126,Dr. Arun Kumar,Ayurveda,34,Mumbai,Dadar West,97% ,503,700,"MD - Alternate Medicine, BAMS"
127,Dr. Amit Aroskar,Ayurveda,23,Mumbai,Borivali West,100% ,25,600,"BAMS, MD - Ayurveda Medicine"
128,Dr. Nikhil Surana,Dentist,13,Mumbai,Kandivali East,96% ,27,500,"MDS - Orthodontics, BDS"
129,Dr. Amar Ravjiani,Dentist,30,Mumbai,Ghatkopar East,98% ,135,750,"BDS, MDS - Orthodontics"
130,Dr. Umesh Shetty,Orthopedist,32,Mumbai,Andheri West,84% ,236,1500,"MS - Orthopaedics, MBBS"
131,Dr. Rupesh Singh,Homoeopath,23,Mumbai,Mira Road,94% ,52,700,DHMS (Diploma in Homeopathic Medicine and Surgery)
132,Dr. Rahul Rane,Orthopedist,17,Mumbai,Powai,95% ,93,1400,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, MNAMS - Orthopaedics"
133,Dr. Pradeep Moonot,Orthopedist,27,Mumbai,Santacruz West,100% ,7,2200,"MBBS, DNB - Orthopedics/Orthopedic Surgery, MS - Orthopaedics"
134,Dr. Saurabh Dani,Gynecologist/Obstetrician,22,Mumbai,Malad West,100% ,3,1000,"FCPS - Mid. & Gynae, MBBS, DGO"
135,Dr. Vaishali Chaudhary,Gynecologist/Obstetrician,29,Mumbai,Chembur,97% ,166,1200,"MD - Obstetrics & Gynaecology, MBBS"
136,Dr. Kapil Khandelwal,Neurosurgeon,13,Mumbai,Mulund West,92% ,34,2000,"MBBS, MCh - Neuro Surgery, MS - General Surgery"
137,Dr. Pallavi Kendrekar,Dentist,24,Mumbai,Borivali West,98% ,110,800,BDS
138,Dr. Rameshwar Gutte,Dermatologist,18,Mumbai,Kanjurmarg,95% ,85,500,"MBBS, MD - Dermatology, DVD"
139,Dr. Suhas Lele,Dentist,41,Mumbai,Prabhadevi,98% ,29,ree,BDS
140,Dr. Fayyaz A Sattar,Sexologist,31,Mumbai,Andheri West,98% ,875,500,"MD - Alternate Medicine, PG Diploma in Trichology, Diplomate of the American Board of Sexology (Sexology), BUMS"
141,Dr. Kiran Katkar,Dermatologist,37,Mumbai,Dadar West,93% ,121,1000,"MBBS, DVD, MD - Skin Diseases"
142,Dr. Chandrashekhar Kulkarni,Cardiac Surgeon,26,Mumbai,Parel,100% ,2,1850,"MCh - Thoracic Surgery, MRCS (UK), MS - General Surgery, MBBS"
143,Dr. Neelkanth Dhamnaskar,Orthopedist,27,Mumbai,Parel,100% ,10,1850,"MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics, MBBS"
144,Dr. Prashant Kewle,Ear-Nose-Throat (ENT) Specialist,22,Mumbai,Chembur,96% ,17,1200,"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)"
145,Dr. Gaurav Gupta,General Surgeon,19,Mumbai,Mulund West,100% ,N/A,2000,"MBBS, MS - General Surgery"
146,Dr. Nalini Bhat,Ear-Nose-Throat (ENT) Specialist,33,Mumbai,Powai,N/A,N/A,1300,"MBBS, MS - ENT"
147,Dr. Hemlata Hardasani,Gynecologist/Obstetrician,26,Mumbai,Andheri West,99% ,739,1500,"MBBS, DGO"
148,Dr. Shaival Chauhan,Orthopedist,17,Mumbai,Ghatkopar West,100% ,301,1000,"MBBS, DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics"
149,Dr. Shilpa Bansal Agrawal,Gynecologist/Obstetrician,17,Mumbai,Andheri West,99% ,461,1200,"MBBS, MD - Obstetrics & Gynaecology"
150,Dr. Aparna Prabhu,Gynecologist/Obstetrician,44,Mumbai,Vikhroli East,100% ,1,700,"MD - Obstetrics & Gynaecology, MBBS"
151,Dr. Mukul Dabholkar,Dentist,42,Mumbai,Bandra West,100% ,11,500,BDS
152,Dr. Sanjay Bhatia,Ear-Nose-Throat (ENT) Specialist,29,Mumbai,Mulund West,94% ,8,1500,"MBBS, DNB - ENT, Diploma in Otorhinolaryngology (DLO)"
153,Dr. Jiten Chowdhry,General Surgeon,29,Mumbai,Bhandup West,94% ,130,1000,"MS - General Surgery, MBBS"
154,Dr. Uma Dangi,Oncologist,15,Mumbai,Mulund West,69% ,8,2000,"MBBS, DNB - General Medicine, DNB  - Medical Oncology"
155,Dr. Mohan Koppikarle,Laparoscopic Surgeon,27,Mumbai,Mulund West,100% ,1,1300,"MBBS, MS - General Surgery, MNAMS - General Surgery"
156,Dr. Reshma Phulwar,Dentist,25,Mumbai,Chembur,96% ,329,700,BDS
157,Dr. Neha V Shah,Dermatologist,13,Mumbai,Ghatkopar East,99% ,114,1000,"MBBS, DVD"
158,Dr. Ketan Parmar,Psychiatrist,34,Mumbai,Borivali East,86% ,2,1200,"MBBS, DPM (Psychiatry), MD - Psychological Medicine"
159,Dr. Jesal Seth,Pediatrician,23,Mumbai,Mulund West,100% ,1,1300,"MBBS, MD - Pediatrics"
160,Dr. Prashanth Rao,Laparoscopic Surgeon,30,Mumbai,Parel,100% ,5,1850,"MBBS, MS - General Surgery"
161,Dr. Alok Shah,Dentist,11,Mumbai,Powai,98% ,54,200,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics"
162,Dr. Naazneen Ladak,Psychiatrist,16,Mumbai,Andheri West,91% ,130,2000,"MBBS, DPM (Psychiatry)"
163,Dr. Adip K shetty,Ear-Nose-Throat (ENT) Specialist,14,Mumbai,Bandra West,97% ,189,1200,"MBBS, MS - ENT"
164,Dr. Parag M. Khatri,Dentist,29,Mumbai,Andheri East,99% ,290,500,"MDS - Periodontics, BDS"
165,Dr. Priyanka Deshpande,Dentist,19,Mumbai,Borivali West,99% ,77,600,"BDS, MDS - Prosthodontics"
166,Dr. Kirti Sabnis,,Sp,Mumbai,Mulund West,100% ,3,2,"DNB - General Medicine, MBBS"
167,Dr. Shantanu Jambhekar,Dentist,15,Mumbai,Parel,99% ,85,500,"BDS, MDS - Prosthodontist And Crown Bridge"
168,Dr. Sameer Sadawarte,Pediatrician,22,Mumbai,Mulund West,100% ,2,1300,"MBBS, Diploma in Child Health (DCH)"
169,Dr. Swapnil Shah,Dentist,33,Mumbai,Powai,98% ,133,500,BDS
170,Dr. Sheeba Raveendran,Ayurveda,34,Mumbai,Borivali West,N/A,N/A,400,BAMS
171,Dr. Gauri Kadam,Dentist,18,Mumbai,Andheri West,100% ,107,500,"BDS, MDS - Prosthodontics"
172,Dr. P M Bhanej,Homoeopath,53,Mumbai,Malad West,91% ,7,700,Diploma in Homoeopathy and Biochemistry (D.H.B)
173,Dr. N Arulvanan,General Surgeon,29,Mumbai,Mulund West,86% ,6,1300,"MBBS, MS - General Surgery"
174,Dr. Prasad Chaudhari,Orthopedist,24,Mumbai,Chembur,95% ,10,1000,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics"
175,Dr. Jayna Shah,Dentist,33,Mumbai,Powai,100% ,33,500,BDS
176,Dr. Mukund Jaganathan,Plastic Surgeon,29,Mumbai,Chembur,100% ,N/A,1200,"MBBS, MS - General Surgery, MCh - Plastic Surgery"
177,Dr. Himanshu Mehta,Ophthalmologist,39,Mumbai,Juhu,92% ,53,1200,"MBBS, DOMS"
178,Dr. Sandhya Biyani,Dentist,12,Mumbai,Bandra West,99% ,169,500,BDS
179,Dr. Girish Sabnis,Gynecologist/Obstetrician,43,Mumbai,Mulund West,N/A,N/A,1300,"MBBS, MD - Obstetrics & Gynaecology"
180,Dr. Upasana Gosalia,Dentist,13,Mumbai,Ghatkopar East,100% ,244,350,BDS
181,Dr. Richard Pereira,Dentist,26,Mumbai,Khar West,98% ,124,500,"BDS, MDS - Periodontics"
182,Dr. Sujata Surana,Dentist,13,Mumbai,Kandivali East,100% ,1,500,"BDS, MDS - Oral Medicine and Radiology"
183,Dr. Nilima Paranjpe,Veterinarian,27,Mumbai,Malad West,97% ,161,650,"Bachelor in Veterinary Science and Animal Husbandary (BVSc & AH), M.V.Sc - Veterinary Surgery & Radiology"
184,Dr. Hitesh Shah,Sexologist,34,Mumbai,Kandivali West,99% ,505,1500,"Certificate Course in Integrated Clinical Hypnotherapy, Diplomate of the American Board of Sexology (Sexology), BHMS"
185,Dr. Suresh Isawe,Dentist,41,Mumbai,Malad West,94% ,92,750,BDS
186,Dr. Haresh  Timbadia,Cosmetologist,41,Mumbai,Borivali West,95% ,73,1200,"MD - Skin Diseases, MBBS"
187,Dr. Kunal Mehta,Dentist,13,Mumbai,Mira Road,99% ,347,200,BDS
188,Dr. Swati Garekar,Cardiologist,26,Mumbai,Mulund West,100% ,1,1500,"MBBS, Diplomater, American Board of Cardiology"
189,Dr. Rikin Gogri,Dentist,21,Mumbai,Goregaon West,99% ,240,400,BDS
190,Dr. Ritu Sharma,Dentist,12,Mumbai,Borivali East,100% ,47,300,BDS
191,Dr. Safiuddin,Orthopedist,12,Mumbai,Tardeo,N/A,N/A,1500,"MBBS, MS - Orthopaedics"
192,Dr. Nitesh Motwani,Dentist,14,Mumbai,Andheri West,99% ,118,300,"BDS, MDS - Oral & Maxillofacial Surgery"
193,Dr. Simi Saksena,General Surgeon,33,Mumbai,Andheri West,99% ,61,1500,"MBBS, MS - General Surgery"
194,Dr. Surinder Hansra,Cardiologist,23,Mumbai,Kandivali East,95% ,49,1000,"MBBS, MD - General Medicine, DNB - Cardiology"
195,Dr. Deval Naik,Dentist,18,Mumbai,Goregaon West,99% ,109,500,BDS
196,Dr. Riddhi Mehta,Dentist,13,Mumbai,Malad West,100% ,24,400,BDS
197,Dr. Shalini Pal,Dentist,15,Mumbai,Marol,100% ,31,350,BDS
198,Dr. Prashant Patel,Dentist,25,Mumbai,Borivali West,99% ,109,500,BDS
199,Dr. Anand Narla,Dentist,23,Mumbai,Powai,94% ,54,500,"BDS, MDS - Orthodontics"
200,Dr. Anand Narla,Dentist,23,Mumbai,Powai,94% ,54,500,"BDS, MDS - Orthodontics"
201,Dr. Anviti Puranik,Dentist,12,Mumbai,Goregaon East,99% ,108,500,BDS
202,Dr. Namrata Patil,Dentist,17,Mumbai,Powai,96% ,27,500,BDS
203,Dr. Aditi Gaur,Dentist,11,Mumbai,Mulund West,100% ,11,200,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS"
204,Dr. A. K. Tandon,Ophthalmologist,37,Mumbai,Andheri West,98% ,219,1000,"MBBS, MS - Ophthalmology"
205,Dr. Disha Sanghvi,Dentist,14,Mumbai,Versova,100% ,194,500,BDS
206,Dr. Naman Hiralal Vora,Dentist,21,Mumbai,Mulund West,99% ,134,500,"BDS, MDS - Orthodontics"
207,Dr. Nishant Gandhi,Dentist,16,Mumbai,Powai,98% ,229,500,"BDS, MDS - Conservative Dentistry & Endodontics"
208,Dr. Nikita Motwani,Dentist,10,Mumbai,Andheri West,100% ,63,300,BDS
209,Dr. Sejal Jain,Dentist,12,Mumbai,Kandivali East,100% ,48,400,BDS
210,Dr. Shalin Ghatalia,Dentist,15,Mumbai,Sion West,99% ,36,200,BDS
211,Dr. Devang Shah,Dentist,12,Mumbai,Kandivali West,98% ,52,300,"BDS, MDS - Paedodontics And Preventive Dentistry"
212,Dr. Manish Kachhara,Dentist,20,Mumbai,Ghatkopar East,99% ,189,500,BDS
213,Dr. Rajesh Shinde,General Practitioner,27,Mumbai,Oshiwara,100% ,19,600,MBBS
214,Dr. Preeti Hooda,Dentist,12,Mumbai,Kandivali East,100% ,23,300,BDS
215,Dr. Parag Shah,Dentist,20,Mumbai,Ghatkopar East,99% ,54,500,BDS
216,Dr. Prakash Trivedi,Gynecologist/Obstetrician,43,Mumbai,Ghatkopar East,99% ,133,3000,"MBBS, DGO, MD - Obstetrics & Gynaecology, FCPS - Mid. & Gynae"
217,Dr. Meghal Shah,Dentist,16,Mumbai,Vileparle East,99% ,14,400,BDS
218,Dr. Devesh Dholakia,Orthopedist,31,Mumbai,Parel,100% ,5,1750,"MBBS, MS - Orthopaedics"
219,Dr. Kukreja A. Kalani,Homoeopath,25,Mumbai,Powai,98% ,342,500,"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)"
220,Dr. Manish S. Sonawane,Dentist,17,Mumbai,Lokhandwala,98% ,46,500,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics"
221,Dr. Jigar Gala,Dentist,17,Mumbai,Andheri West,95% ,81,500,BDS
